Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AL,3520,400,Kinesiology,14%,19%,10%,0%,0%,0%,0%,33%,0%,10%,5%,10%,Colbert Isaac Sean,
AL,3530,400,Athletic Injuries,38%,42%,0%,0%,0%,0%,0%,13%,0%,8%,0%,0%,Colbert Isaac Sean,
AL,3530,401,Athletic Injuries,52%,41%,4%,0%,0%,0%,0%,4%,0%,0%,0%,0%,Colbert Isaac Sean,
AL,3600,400,Hgh Sch Athl Ethical/Legal I,68%,23%,0%,0%,0%,0%,0%,0%,0%,9%,0%,0%,Connor Clyde Keith,
AL,3610,400,Admin/Org of Athletic Pro,69%,27%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,Oates Henry C.,
AL,3610,401,Admin/Org of Athletic Pro,88%,8%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,Oates Henry C.,
AL,3610,402,Admin/Org of Athletic Pro,77%,19%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,Oates Henry C.,
AL,3620,400,Psychology of Coaching,24%,24%,0%,0%,0%,0%,0%,0%,0%,40%,8%,4%,Carter Natalie Anne,
AL,3620,401,Psychology of Coaching,42%,17%,4%,0%,0%,0%,0%,0%,0%,29%,4%,4%,Carter Natalie Anne,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Monday, September 21, 2020",,,,,,,,,,,,,,,,Page 6 of 133,
Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AL,3620,402,Psychology of Coaching,32%,16%,0%,0%,0%,0%,0%,4%,0%,40%,4%,4%,Carter Natalie Anne,
AL,3720,400,Coaching Basketball,68%,12%,4%,0%,0%,0%,0%,4%,0%,12%,0%,0%,Fry Edmond H,
AL,3740,400,Coaching Football,79%,13%,0%,0%,0%,0%,0%,0%,0%,8%,0%,0%,Fry Edmond H,
AL,3750,400,Coaching Soccer,84%,8%,0%,0%,0%,0%,0%,4%,0%,4%,0%,0%,Hickey Justin M,
AL,3760,400,Coaching Strength/Conditi,48%,36%,0%,0%,4%,0%,0%,0%,0%,12%,0%,0%,Fry Edmond H,
AL,3760,401,Coaching Strength/Conditi,54%,38%,0%,0%,0%,0%,0%,0%,0%,8%,0%,0%,Fry Edmond H,
AL,4380,401,Officiating in Athl Leadersh,72%,24%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,Connor Clyde Keith,
AL,4380,402,High School Recruiting,52%,24%,4%,0%,0%,0%,0%,4%,0%,16%,0%,0%,Hickey Justin M,
AL,4380,403,Coaching Baseball/Softball,65%,12%,0%,4%,0%,0%,0%,0%,0%,8%,8%,4%,Hickey Justin M,
AL,8380,400,Intercoll Ath Personnel Mg,90%,0%,5%,0%,0%,0%,0%,5%,0%,0%,0%,0%,Young Kyle,
,,,,,,,,,,,,,,,,McLendon,
AL,8380,400,Intercoll Ath Personnel Mg,90%,0%,5%,0%,0%,0%,0%,5%,0%,0%,0%,0%,Young Kyle,
,,,,,,,,,,,,,,,,McLendon,
AL,8380,401,Intercoll Ath Personnel Mg,90%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Young Kyle,
,,,,,,,,,,,,,,,,McLendon,
AL,8380,401,Intercoll Ath Personnel Mg,90%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Young Kyle,
,,,,,,,,,,,,,,,,McLendon,
AL,8380,402,Sports Op & Team Culture,67%,28%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Carlson Julianna D,
AL,8530,401,Legal Iss in Intercoll Athlet,90%,0%,5%,0%,0%,0%,0%,5%,0%,0%,0%,0%,Soles Misty B,
AL,8630,400,Socio Dynam in Intercol At,60%,32%,4%,0%,0%,0%,0%,0%,0%,0%,4%,0%,Godfrey Michael G,
AL,8640,400,Ethical Iss in Collegiate Ath,92%,4%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Magette Janna,
